age,body,colour,fuel,location,make,milage,model,price,transmission
4.4736481862,Hatchback,Red,Petrol,Swindon,VAUXHALL,40577,ADAM HATCHBACK SPECIAL EDS 1.2i Energised 3dr,8750,Manual
3.8138261465,Hatchback,Red,Petrol,Bristol,HYUNDAI,24669,I10 HATCHBACK 1.0 S 5dr,8750,Manual
5.311430527,Hatchback,Red,Petrol,Norwich,VAUXHALL,33295,ADAM HATCHBACK SPECIAL EDS 1.2i Energised 3dr,8750,Manual
4.5612594114,Hatchback,Grey,Petrol,Cardiff,FIAT,41582,500 HATCHBACK 1.2 Lounge 3dr,8800,Manual
3.5838466804,Hatchback,White,Petrol,Warrington,VOLKSWAGEN,32755,UP HATCHBACK 1.0 Move Up 5dr,8800,Manual
4.3449691992,Hatchback,White,Petrol,Norwich,FIAT,26607,PANDA HATCHBACK 1.2 Lounge 5dr,8800,Manual
3.9808350445,Hatchback,White,Petrol,Sheffield,HYUNDAI,27390,I10 HATCHBACK 1.0 S 5dr,8800,Manual
4.9801505818,Hatchback,Red,Petrol,Cardiff,VOLKSWAGEN,42463,UP HATCHBACK 1.0 Move Up 5dr,8800,Manual
7.0855578371,Hatchback,Blue,Petrol,Sheffield,VAUXHALL,36064,CORSA HATCHBACK SPECIAL EDS 1.4 Limited Edition 3dr,8800,Manual
6.1464750171,Small,Blue,Petrol,Bristol,SMART,17740,FORTWO COUPE 1.0 Prime 2dr,8800,Manual
5.0787132101,Small,Red,Petrol,Sheffield,SMART,13405,FORTWO COUPE 1.0 Passion 2dr,8800,Manual
4.3586584531,Hatchback,Blue,Petrol,Manchester,HYUNDAI,16501,I10 HATCHBACK 1.0 SE 5dr,8850,Manual
4.0684462697,Hatchback,White,Petrol,Norwich,FIAT,23368,500 HATCHBACK 1.2 Pop 3dr,8900,Manual
4.3969883641,Hatchback,Red,Petrol,Doncaster,CITROEN,23176,C1 HATCHBACK 1.0 VTi 72 Flair 5dr,8900,Manual
4.5229295003,Hatchback,Grey,Petrol,Bristol,HYUNDAI,40047,I10 HATCHBACK 1.2 SE 5dr,8900,Manual
3.6002737851,Hatchback,Blue,Petrol,Northampton,CITROEN,1,C1 HATCHBACK 1.0 VTi 72 Feel 5dr,8900,Manual
5.8124572211,Hatchback,Red,Petrol,Cardiff,VOLKSWAGEN,35349,UP HATCHBACK SPECIAL EDS 1.0 Up Beats 3dr,8900,Manual
4.977412731,Hatchback,White,Petrol,Doncaster,FIAT,32374,500 HATCHBACK 1.2 Lounge 3dr,8900,Manual
4.9199178645,Hatchback,Grey,Petrol,Doncaster,FIAT,27222,500 HATCHBACK 1.2 Lounge 3dr,8900,Manual
5.1526351814,Hatchback,Black,Petrol,Manchester,HYUNDAI,46348,I10 HATCHBACK 1.2 SE 5dr,8900,Manual
7.8932238193,Hatchback,White,Diesel,Wakefield,FIAT,49210,500X DIESEL HATCHBACK 1.6 Multijet Cross Plus 5dr,8900,Manual
7.8904859685,Hatchback,Grey,Diesel,Bristol,RENAULT,37987,CLIO DIESEL HATCHBACK 1.5 dCi 90 Dynamique S Nav 5dr,8950,Manual
5.8151950719,Hatchback,White,Petrol,Sheffield,FIAT,27130,500 HATCHBACK 1.2 Lounge 3dr,8950,Manual
3.7262149213,Hatchback,Pink,Petrol,Doncaster,FIAT,25886,500 HATCHBACK 1.2 Lounge 3dr,9000,Manual
4.8240930869,Hatchback,Red,Petrol,Manchester,FIAT,4680,500 HATCHBACK 1.2 Pop 3dr,9000,Manual
4.7939767283,Hatchback,White,Petrol,Wakefield,HYUNDAI,6784,I10 HATCHBACK 1.0 SE 5dr,9000,Manual
3.8138261465,Hatchback,Red,Petrol,Norwich,HYUNDAI,20101,I10 HATCHBACK 1.0 S 5dr,9000,Manual
4.3175906913,Hatchback,Red,Petrol,Nottingham,CITROEN,22919,C1 HATCHBACK 1.0 VTi 72 Flair 5dr,9000,Manual
4.5201916496,Hatchback,White,Petrol,Nottingham,HYUNDAI,37700,I10 HATCHBACK 1.2 SE 5dr,9000,Manual
4.6132785763,Hatchback,White,Petrol,Wakefield,PEUGEOT,13466,108 HATCHBACK 1.0 72 Active 3dr,9000,Manual
5.5058179329,Hatchback,Yellow,Petrol,Cardiff,SKODA,12984,CITIGO HATCHBACK SPECIAL EDITIONS 1.0 MPI Colour Edition 5dr,9000,Manual
5.6454483231,Hatchback,Silver,Petrol,Bristol,HYUNDAI,51498,I20 HATCHBACK 1.2 SE 5dr,9000,Manual
6.559890486,Hatchback,Silver,Petrol,Nottingham,VAUXHALL,51276,ASTRA HATCHBACK 1.0T 12V ecoFLEX SRi 5dr,9000,Manual
5.9493497604,Hatchback,Pink,Petrol,Northampton,FIAT,5041,500 HATCHBACK 1.2 Pop Star 3dr,9000,Manual
6.1464750171,Hatchback,Silver,Petrol,Norwich,PEUGEOT,60176,308 HATCHBACK 1.2 PureTech 110 Allure 5dr,9000,Manual
5.3141683778,Hatchback,White,Petrol,Northampton,VAUXHALL,36728,VIVA HATCHBACK 1.0 Rocks 5dr,9000,Manual
4.8131416838,Hatchback,White,Petrol,Norwich,KIA,12273,PICANTO HATCHBACK 1.0 2 5dr,9100,Manual
4.2080766598,Hatchback,Blue,Petrol,Wakefield,KIA,21628,PICANTO HATCHBACK 1.0 1 5dr,9100,Manual
6.8117727584,MPV,Grey,Petrol,Wakefield,VAUXHALL,35063,MERIVA ESTATE 1.4T 16V SE 5dr,9100,Manual
5.2320328542,Hatchback,Green,Petrol,Swindon,VAUXHALL,10449,VIVA HATCHBACK 1.0 [73] SE 5dr,9100,Manual
4.8186173854,Hatchback,Blue,Petrol,Northampton,FIAT,13886,500 HATCHBACK 1.2 Lounge 3dr,9200,Manual
4.4407939767,Hatchback,Black,Petrol,Northampton,KIA,40599,PICANTO HATCHBACK 1.25 2 5dr,9200,Manual
4.3750855578,Hatchback,Red,Petrol,Wolverhampton,HYUNDAI,10439,I10 HATCHBACK 1.0 SE 5dr,9200,Manual
4.8569472964,Hatchback,Silver,Petrol,Nottingham,SMART,13287,FORFOUR HATCHBACK 1.0 Passion 5dr,9200,Manual
5.4702258727,Hatchback,Blue,Petrol,Norwich,CITROEN,33537,C3 HATCHBACK 1.2 PureTech Touch 5dr,9200,Manual
8.4982888433,Hatchback,Red,Diesel,Norwich,ALFA ROMEO,47742,GIULIETTA DIESEL HATCHBACK 2.0 JTDM-2 Exclusive 5dr,9200,Manual
4.090349076,Hatchback,Blue,Petrol,Warrington,KIA,15758,PICANTO HATCHBACK 1.0 1 5dr,9250,Manual
4.758384668,Hatchback,Grey,Petrol,Norwich,FIAT,25281,500 HATCHBACK 1.2 Lounge 3dr,9250,Manual
3.7727583847,Hatchback,White,Petrol,Sheffield,CITROEN,14524,C1 HATCHBACK 1.0 VTi 72 Urban Ride 5dr,9250,Manual
4.8186173854,Hatchback,White,Petrol,Wolverhampton,CITROEN,15783,C1 AIRSCAPE HATCHBACK 1.0 VTi 72 Flair 5dr,9250,Manual
4.476386037,Hatchback,Beige,Petrol,Bristol,CITROEN,27678,C1 HATCHBACK SPECIAL EDITION 1.0 VTi 72 ELLE 5dr,9250,Manual
4.8706365503,Hatchback,Blue,Petrol,Northampton,CITROEN,9770,C1 HATCHBACK 1.0 VTi 72 Flair 3dr,9250,Manual
5.4729637235,Hatchback,Black,Petrol,Bristol,SMART,27059,FORFOUR HATCHBACK 0.9 Turbo Prime Premium Plus 5dr,9250,Manual
6.6858316222,Hatchback,Blue,Petrol,Swindon,VAUXHALL,64113,MOKKA X HATCHBACK 1.4T Active 5dr,9250,Manual
4.8213552361,Hatchback,White,Petrol,Swindon,TOYOTA,40817,AYGO HATCHBACK 1.0 VVT-i X-Plore 5dr,9300,Manual
