engine,fuel,launch,mileage,name,price,transmission
1498cc,Petrol,August 2023,"6-speed MT, CVT",Honda Elevate,₹ 12.00 - 17.00 lakh,"6-speed MT, CVT"
6496cc,Petrol,Mid 2023,8-speed DCT,Ferrari Purosangue,₹ 6.00 crore,8-speed DCT
1198cc,Petrol,Late 2023,6-speed MT,Citroen C3 Aircross,₹ 9.00 - 14.00 lakh,6-speed MT
3998cc,Petrol,October 2023,8-speed AT,Aston Martin DB12,₹ 4.80 crore,8-speed AT
1497cc,Petrol hybrid,Late 2023,e-CVT,Nissan X-Trail,₹ 40.00 - 45.00 lakh,e-CVT
NA,Electric,Late 2023,1-speed auto,Skoda Enyaq iV,₹ 50.00 lakh,1-speed auto
1497cc,Petrol/Diesel,2024,Manual/Torque Converter Auto,Mahindra New XUV500,₹ 10.00 - 16.00 lakh,Manual/Torque Converter Auto
